Frequenzen /MHz, Realteil V/Pa,Imagteil / (V/Pa) , Var (k=1) real / (V/Pa)^2, var k=1 imag / (V/Pa)^2, korrelation / (V/Pa)^2, Amplitude |M| / dB re 1V/Pa, Amplitude M / (V/Pa) , uns (k=1) / V/Pa, phase arg(M) / rad, uns k=1 /rad, korrelation [-1...1] 
2.420000e+01, 8.816620e-10, 2.703082e-09, 2.354710e-20, 1.573492e-20, 6.314285e-22, -1.709237e+02, 2.843234e-09, 1.298399e-10, 1.255507e+00, 5.266719e-02, -1.446838e-01 
2.430000e+01, 8.588326e-10, 2.637357e-09, 3.169859e-20, 1.955550e-20, -7.781747e-21, -1.711389e+02, 2.773670e-09, 1.270335e-10, 1.255984e+00, 6.756181e-02, 1.140255e-01 
2.440000e+01, 9.430785e-10, 2.755282e-09, 1.783129e-20, 1.566391e-20, 8.889302e-22, -1.707155e+02, 2.912212e-09, 1.282026e-10, 1.241015e+00, 4.484949e-02, -8.161031e-02 
2.450000e+01, 9.329719e-10, 2.740845e-09, 2.226533e-20, 1.665183e-20, -1.230772e-21, -1.707662e+02, 2.895284e-09, 1.283894e-10, 1.242703e+00, 5.173158e-02, -3.833759e-02 
2.460000e+01, 8.740168e-10, 2.759674e-09, 1.995129e-20, 1.884402e-20, 4.217191e-21, -1.707677e+02, 2.894772e-09, 1.461940e-10, 1.264080e+00, 4.559763e-02, -1.952141e-01 
2.470000e+01, 9.805297e-10, 2.722476e-09, 1.713124e-20, 1.816122e-20, -8.554805e-22, -1.707710e+02, 2.893668e-09, 1.322781e-10, 1.225098e+00, 4.609990e-02, 5.595669e-02 
2.480000e+01, 9.308786e-10, 2.664208e-09, 2.328011e-20, 1.635032e-20, 6.537856e-22, -1.709884e+02, 2.822152e-09, 1.323308e-10, 1.234655e+00, 5.269900e-02, -1.356329e-01 
2.490000e+01, 8.950556e-10, 2.645464e-09, 2.309860e-20, 1.710909e-20, 4.346583e-23, -1.710793e+02, 2.792777e-09, 1.332317e-10, 1.244550e+00, 5.365864e-02, -9.280228e-02 
2.500000e+01, 8.079595e-10, 2.685910e-09, 3.252843e-20, 1.751629e-20, -1.591825e-21, -1.710420e+02, 2.804801e-09, 1.337303e-10, 1.278593e+00, 6.393847e-02, -1.173144e-01 
2.510000e+01, 8.993883e-10, 2.636414e-09, 2.596370e-20, 1.696449e-20, -5.394737e-22, -1.711016e+02, 2.785602e-09, 1.325629e-10, 1.242036e+00, 5.716302e-02, -1.100492e-01 
2.520000e+01, 8.978865e-10, 2.584203e-09, 1.798280e-20, 1.838502e-20, 1.054011e-21, -1.712585e+02, 2.735746e-09, 1.378232e-10, 1.236393e+00, 4.817886e-02, -3.865721e-02 
2.530000e+01, 9.411783e-10, 2.720822e-09, 2.640357e-20, 1.771428e-20, 2.024479e-21, -1.708151e+02, 2.879008e-09, 1.410455e-10, 1.237764e+00, 5.406052e-02, -1.947990e-01 
2.540000e+01, 8.635195e-10, 2.650476e-09, 2.527067e-20, 2.053820e-20, -2.463859e-21, -1.710954e+02, 2.787596e-09, 1.397889e-10, 1.255843e+00, 5.814109e-02, 2.635598e-02 
2.550000e+01, 8.166555e-10, 2.667343e-09, 2.819289e-20, 2.097235e-20, -5.117744e-21, -1.710893e+02, 2.789560e-09, 1.368429e-10, 1.273690e+00, 6.254337e-02, 9.295499e-02 
2.560000e+01, 7.839841e-10, 2.580478e-09, 2.358911e-20, 1.879257e-20, -8.159913e-22, -1.713826e+02, 2.696942e-09, 1.369086e-10, 1.275845e+00, 5.700737e-02, -3.116654e-02 
2.570000e+01, 7.997976e-10, 2.600590e-09, 2.335411e-20, 1.844319e-20, 2.306686e-21, -1.713061e+02, 2.720799e-09, 1.419992e-10, 1.272432e+00, 5.405892e-02, -1.574214e-01 
2.580000e+01, 8.643600e-10, 2.575973e-09, 2.502697e-20, 2.149350e-20, -4.208088e-21, -1.713178e+02, 2.717123e-09, 1.389706e-10, 1.247055e+00, 6.070663e-02, 9.993218e-02 
2.590000e+01, 8.086096e-10, 2.658876e-09, 2.261543e-20, 1.954375e-20, -2.773543e-21, -1.711219e+02, 2.779113e-09, 1.351282e-10, 1.275567e+00, 5.562737e-02, 6.935687e-02 
2.600000e+01, 8.034001e-10, 2.600713e-09, 2.267035e-20, 1.755741e-20, -1.138534e-21, -1.713023e+02, 2.721977e-09, 1.317599e-10, 1.271181e+00, 5.555470e-02, -2.518015e-02 
2.610000e+01, 8.179033e-10, 2.663576e-09, 2.499286e-20, 1.814828e-20, -8.676661e-22, -1.710994e+02, 2.786324e-09, 1.350966e-10, 1.272866e+00, 5.662147e-02, -5.642036e-02 
2.620000e+01, 6.721737e-10, 2.634060e-09, 2.425809e-20, 1.946943e-20, -7.603827e-22, -1.713135e+02, 2.718472e-09, 1.392762e-10, 1.320943e+00, 5.737772e-02, -2.208958e-02 
2.630000e+01, 7.205181e-10, 2.598900e-09, 2.792448e-20, 1.988395e-20, -4.492393e-21, -1.713826e+02, 2.696929e-09, 1.347023e-10, 1.300349e+00, 6.386212e-02, 7.676948e-02 
2.640000e+01, 6.469062e-10, 2.507940e-09, 2.987675e-20, 1.883462e-20, 4.377256e-21, -1.717339e+02, 2.590029e-09, 1.471080e-10, 1.318356e+00, 6.352495e-02, -2.686209e-01 
2.650000e+01, 6.942276e-10, 2.527867e-09, 2.484811e-20, 2.203222e-20, -1.021831e-21, -1.716291e+02, 2.621462e-09, 1.473357e-10, 1.302774e+00, 6.052290e-02, 6.819477e-03 
2.660000e+01, 6.790942e-10, 2.620082e-09, 1.871286e-20, 2.226979e-20, -8.401943e-24, -1.713513e+02, 2.706658e-09, 1.484648e-10, 1.317189e+00, 5.084711e-02, 4.263896e-02 
2.670000e+01, 5.988067e-10, 2.648916e-09, 2.551356e-20, 2.023715e-20, -6.179564e-22, -1.713222e+02, 2.715755e-09, 1.422247e-10, 1.348476e+00, 5.882662e-02, -2.539042e-02 
2.680000e+01, 5.791160e-10, 2.538299e-09, 2.123839e-20, 2.353939e-20, 2.887948e-21, -1.716888e+02, 2.603524e-09, 1.570927e-10, 1.346485e+00, 5.445437e-02, -9.443302e-02 
2.690000e+01, 5.441862e-10, 2.575091e-09, 2.361636e-20, 1.967247e-20, 2.237374e-22, -1.715944e+02, 2.631964e-09, 1.411793e-10, 1.362534e+00, 5.806720e-02, -4.645918e-02 
2.700000e+01, 6.029338e-10, 2.711825e-09, 2.525795e-20, 2.188173e-20, 1.755361e-21, -1.711252e+02, 2.778043e-09, 1.509455e-10, 1.352020e+00, 5.617670e-02, -9.786084e-02 
2.710000e+01, 4.499137e-10, 2.719160e-09, 3.030226e-20, 2.227891e-20, -4.584295e-21, -1.711940e+02, 2.756130e-09, 1.449693e-10, 1.406821e+00, 6.446198e-02, 1.183334e-01 
2.720000e+01, 4.562649e-10, 2.698756e-09, 2.169143e-20, 2.501578e-20, -1.986256e-21, -1.712543e+02, 2.737053e-09, 1.557898e-10, 1.403315e+00, 5.472639e-02, 1.038018e-01 
2.730000e+01, 3.842696e-10, 2.611024e-09, 2.186536e-20, 2.058583e-20, -5.419427e-22, -1.715707e+02, 2.639149e-09, 1.430273e-10, 1.424673e+00, 5.619424e-02, 1.577647e-02 
2.740000e+01, 4.079546e-10, 2.625812e-09, 2.157654e-20, 2.591224e-20, 2.784561e-21, -1.715111e+02, 2.657314e-09, 1.632633e-10, 1.416665e+00, 5.431782e-02, -8.468249e-02 
2.750000e+01, 4.285807e-10, 2.789397e-09, 2.896002e-20, 2.173823e-20, -1.318655e-21, -1.709885e+02, 2.822130e-09, 1.466592e-10, 1.418342e+00, 6.053898e-02, 6.937110e-03 
2.760000e+01, 4.028974e-10, 2.771979e-09, 2.185351e-20, 1.990830e-20, 1.361306e-21, -1.710534e+02, 2.801106e-09, 1.426046e-10, 1.426461e+00, 5.225626e-02, -7.578206e-02 
2.770000e+01, 3.214270e-10, 2.686974e-09, 2.260839e-20, 2.005505e-20, -6.388213e-22, -1.713530e+02, 2.706131e-09, 1.412105e-10, 1.451738e+00, 5.570376e-02, 1.501737e-02 
