Frequenzen /MHz, Realteil V/Pa,Imagteil / (V/Pa) , Var (k=1) real / (V/Pa)^2, var k=1 imag / (V/Pa)^2, korrelation / (V/Pa)^2, Amplitude |M| / dB re 1V/Pa, Amplitude M / (V/Pa) , uns (k=1) / V/Pa, phase arg(M) / rad, uns k=1 /rad, korrelation [-1...1] 
8.800000e+01, 1.345115e-08, 1.289428e-10, 5.320565e-18, 5.143703e-18, 1.179671e-19, -1.574244e+02, 1.345177e-08, 2.307122e-09, 9.585712e-03, 1.685636e-01, 2.222184e-02 
8.810000e+01, 1.370563e-08, -4.761323e-11, 4.978404e-18, 4.844329e-18, 9.175042e-20, -1.572620e+02, 1.370571e-08, 2.231091e-09, -3.473977e-03, 1.605994e-01, 1.877734e-02 
8.820000e+01, 1.315702e-08, 1.493720e-09, 5.481496e-18, 5.592645e-18, -2.545394e-20, -1.575612e+02, 1.324154e-08, 2.340343e-09, 1.130462e-01, 1.786639e-01, -2.230178e-03 
8.830000e+01, 1.326640e-08, -9.377032e-11, 5.278965e-18, 5.283131e-18, 1.225423e-19, -1.575447e+02, 1.326673e-08, 2.297223e-09, -7.068139e-03, 1.732818e-01, 2.319628e-02 
8.840000e+01, 1.330003e-08, 6.195023e-10, 5.004156e-18, 4.812226e-18, 3.878179e-20, -1.575135e+02, 1.331445e-08, 2.237710e-09, 4.654537e-02, 1.647046e-01, 6.050982e-03 
8.850000e+01, 1.272538e-08, 6.858884e-10, 6.000412e-18, 5.739689e-18, 5.093226e-20, -1.578940e+02, 1.274385e-08, 2.450537e-09, 5.384714e-02, 1.879165e-01, 6.240972e-03 
8.860000e+01, 1.329169e-08, 4.290481e-10, 5.307536e-18, 5.002298e-18, -8.917061e-20, -1.575239e+02, 1.329861e-08, 2.302492e-09, 3.226822e-02, 1.682836e-01, -1.917928e-02 
8.870000e+01, 1.353333e-08, 1.577377e-09, 5.453813e-18, 5.531165e-18, 1.222457e-19, -1.573133e+02, 1.362495e-08, 2.341573e-09, 1.160314e-01, 1.721575e-01, 2.327977e-02 
8.880000e+01, 1.300504e-08, 8.224289e-10, 5.353311e-18, 5.275499e-18, 6.721211e-20, -1.577004e+02, 1.303102e-08, 2.315484e-09, 6.315514e-02, 1.761235e-01, 1.162462e-02 
8.890000e+01, 1.279768e-08, 4.786672e-10, 5.012005e-18, 5.027483e-18, 9.630018e-20, -1.578513e+02, 1.280663e-08, 2.240362e-09, 3.738523e-02, 1.749559e-01, 1.924585e-02 
8.900000e+01, 1.300295e-08, 6.974918e-10, 4.953097e-18, 5.259691e-18, 6.127243e-20, -1.577067e+02, 1.302164e-08, 2.227225e-09, 5.358968e-02, 1.759978e-01, 1.514792e-02 
8.910000e+01, 1.268397e-08, 1.050908e-09, 6.386450e-18, 5.853539e-18, 1.525717e-19, -1.579052e+02, 1.272743e-08, 2.531388e-09, 8.266443e-02, 1.897450e-01, 1.744399e-02 
8.920000e+01, 1.317967e-08, 1.541940e-11, 5.038519e-18, 4.862952e-18, 7.151392e-20, -1.576019e+02, 1.317968e-08, 2.244702e-09, 1.169938e-03, 1.673161e-01, 1.440585e-02 
8.930000e+01, 1.342434e-08, 5.339309e-10, 5.448262e-18, 5.353199e-18, 3.139626e-20, -1.574353e+02, 1.343495e-08, 2.334653e-09, 3.975239e-02, 1.721771e-01, 5.096210e-03 
8.940000e+01, 1.235126e-08, 9.278119e-10, 5.026773e-18, 4.942177e-18, 1.057361e-19, -1.581413e+02, 1.238606e-08, 2.245461e-09, 7.497799e-02, 1.792057e-01, 1.970859e-02 
8.950000e+01, 1.288774e-08, -2.751907e-10, 5.813118e-18, 5.590093e-18, 6.893676e-20, -1.577945e+02, 1.289068e-08, 2.410409e-09, -2.134966e-02, 1.834645e-01, 1.291694e-02 
8.960000e+01, 1.276185e-08, 2.664061e-10, 5.487761e-18, 5.258899e-18, 1.196953e-20, -1.578798e+02, 1.276463e-08, 2.342682e-09, 2.087216e-02, 1.796481e-01, 1.337213e-03 
8.970000e+01, 1.329443e-08, 7.487323e-10, 5.777658e-18, 5.682623e-18, -8.737003e-21, -1.575129e+02, 1.331550e-08, 2.403409e-09, 5.625982e-02, 1.790466e-01, -2.446290e-03 
8.980000e+01, 1.306110e-08, 9.272489e-10, 5.603003e-18, 6.246576e-18, -6.115981e-20, -1.576586e+02, 1.309397e-08, 2.365923e-09, 7.087426e-02, 1.909579e-01, -2.550183e-03 
8.990000e+01, 1.224598e-08, 7.782626e-10, 5.148348e-18, 5.081715e-18, 5.639518e-20, -1.582226e+02, 1.227069e-08, 2.270511e-09, 6.346714e-02, 1.835873e-01, 1.011243e-02 
9.000000e+01, 1.196436e-08, 2.933654e-10, 5.627058e-18, 5.345065e-18, -2.074129e-19, -1.584396e+02, 1.196796e-08, 2.369963e-09, 2.451503e-02, 1.933642e-01, -3.903250e-02 
9.010000e+01, 1.253297e-08, 1.408296e-09, 6.093914e-18, 6.322404e-18, -3.747528e-19, -1.579844e+02, 1.261185e-08, 2.452263e-09, 1.118979e-01, 2.006337e-01, -5.480203e-02 
9.020000e+01, 1.297639e-08, 1.627181e-10, 5.441250e-18, 5.415527e-18, 7.428870e-20, -1.577362e+02, 1.297741e-08, 2.333047e-09, 1.253889e-02, 1.792907e-01, 1.362156e-02 
9.030000e+01, 1.329144e-08, 1.115780e-09, 6.080909e-18, 5.891496e-18, 3.444653e-20, -1.574981e+02, 1.333819e-08, 2.466845e-09, 8.375090e-02, 1.819085e-01, 3.036564e-03 
9.040000e+01, 1.292633e-08, 2.988161e-10, 5.374891e-18, 5.550903e-18, 1.521912e-19, -1.577682e+02, 1.292978e-08, 2.319918e-09, 2.311274e-02, 1.821007e-01, 2.857685e-02 
