Frequenzen /MHz, Realteil V/Pa,Imagteil / (V/Pa) , Var (k=1) real / (V/Pa)^2, var k=1 imag / (V/Pa)^2, korrelation / (V/Pa)^2, Amplitude |M| / dB re 1V/Pa, Amplitude M / (V/Pa) , uns (k=1) / V/Pa, phase arg(M) / rad, uns k=1 /rad, korrelation [-1...1] 
8.930000e+01, 1.875000e-09, -6.228000e-10, 6.867420e-19, 6.842690e-19, -1.634470e-20, -1.740855e+02, 1.975729e-09, 8.344312e-10, -3.206942e-01, 4.157569e-01, -1.802782e-02 
8.940000e+01, 1.863000e-09, -6.454000e-10, 6.489210e-19, 6.628180e-19, 5.938620e-21, -1.741035e+02, 1.971626e-09, 8.041992e-10, -3.334913e-01, 4.136062e-01, 5.603143e-04 
8.950000e+01, 1.844000e-09, -6.999000e-10, 6.663830e-19, 6.431960e-19, -2.095540e-20, -1.741003e+02, 1.972358e-09, 8.230235e-10, -3.627584e-01, 4.031303e-01, -1.220259e-02 
8.960000e+01, 1.906000e-09, -5.307000e-10, 8.055740e-19, 7.077290e-19, 1.410010e-20, -1.740733e+02, 1.978504e-09, 8.895207e-10, -2.715583e-01, 4.294854e-01, 4.941998e-02 
8.970000e+01, 1.970000e-09, -5.568000e-10, 7.188300e-19, 7.267820e-19, -3.062380e-21, -1.737769e+02, 2.047175e-09, 8.491297e-10, -2.754547e-01, 4.158066e-01, -6.489428e-03 
8.980000e+01, 1.910000e-09, -7.507000e-10, 6.333470e-19, 6.526760e-19, 6.606260e-21, -1.737555e+02, 2.052231e-09, 7.946290e-10, -3.744891e-01, 3.942374e-01, -2.709790e-03 
8.990000e+01, 1.752000e-09, -6.980000e-10, 7.472580e-19, 8.445070e-19, 1.210810e-20, -1.744895e+02, 1.885924e-09, 8.673253e-10, -3.791279e-01, 4.858356e-01, -3.101353e-02 
9.000000e+01, 1.844000e-09, -6.387000e-10, 7.701890e-19, 7.109540e-19, -3.415160e-21, -1.741927e+02, 1.951480e-09, 8.751892e-10, -3.334343e-01, 4.333569e-01, 2.112552e-02 
9.010000e+01, 2.028000e-09, -8.152000e-10, 7.247980e-19, 7.850830e-19, 3.195320e-21, -1.732081e+02, 2.185712e-09, 8.549693e-10, -3.822056e-01, 4.037852e-01, -2.459134e-02 
9.020000e+01, 1.818000e-09, -6.932000e-10, 7.765720e-19, 7.606360e-19, -8.857220e-21, -1.742186e+02, 1.945675e-09, 8.834287e-10, -3.642809e-01, 4.471048e-01, -1.696251e-03 
9.030000e+01, 1.785000e-09, -6.108000e-10, 6.999650e-19, 7.218680e-19, 4.840960e-21, -1.744864e+02, 1.886611e-09, 8.362386e-10, -3.296957e-01, 4.505551e-01, -4.056089e-03 
9.040000e+01, 1.634000e-09, -5.535000e-10, 7.126590e-19, 7.161600e-19, 2.097140e-21, -1.752632e+02, 1.725201e-09, 8.436497e-10, -3.266080e-01, 4.908427e-01, 8.420355e-04 
9.050000e+01, 1.710000e-09, -7.172000e-10, 7.127040e-19, 7.206420e-19, 1.506140e-20, -1.746363e+02, 1.854313e-09, 8.385389e-10, -3.971308e-01, 4.608265e-01, 1.077941e-02 
9.060000e+01, 1.575000e-09, -5.922000e-10, 7.226850e-19, 7.403160e-19, 2.176350e-20, -1.754801e+02, 1.682654e-09, 8.429294e-10, -3.596471e-01, 5.155253e-01, 1.444738e-02 
9.070000e+01, 1.658000e-09, -6.126000e-10, 6.952470e-19, 6.969280e-19, 6.756040e-21, -1.750526e+02, 1.767553e-09, 8.312979e-10, -3.539236e-01, 4.737219e-01, 6.589141e-03 
9.080000e+01, 1.530000e-09, -6.398000e-10, 8.575350e-19, 8.326040e-19, -2.767300e-20, -1.756063e+02, 1.658386e-09, 9.346248e-10, -3.960713e-01, 5.449080e-01, -1.250507e-02 
9.090000e+01, 1.449000e-09, -6.485000e-10, 7.817190e-19, 7.242800e-19, 2.184440e-20, -1.759857e+02, 1.587499e-09, 8.693928e-10, -4.208147e-01, 5.455846e-01, 4.777034e-02 
9.100000e+01, 1.654000e-09, -5.573000e-10, 7.116150e-19, 7.258580e-19, -4.828120e-20, -1.751623e+02, 1.745365e-09, 8.615601e-10, -3.249937e-01, 4.777103e-01, -5.950578e-02 
9.110000e+01, 1.708000e-09, -8.007000e-10, 7.015350e-19, 6.630060e-19, -2.247570e-20, -1.744875e+02, 1.886368e-09, 8.437235e-10, -4.383726e-01, 4.282732e-01, 6.325192e-04 
9.120000e+01, 1.537000e-09, -7.255000e-10, 7.774500e-19, 7.607800e-19, -1.781960e-20, -1.753929e+02, 1.699623e-09, 8.877893e-10, -4.410169e-01, 5.095600e-01, -6.361113e-03 
9.130000e+01, 1.534000e-09, -5.837000e-10, 7.774430e-19, 7.804970e-19, 9.819790e-20, -1.756962e+02, 1.641299e-09, 8.441271e-10, -3.635913e-01, 5.601970e-01, 9.321039e-02 
9.140000e+01, 1.554000e-09, -6.136000e-10, 7.026790e-19, 7.086260e-19, -6.988240e-21, -1.755417e+02, 1.670755e-09, 8.415791e-10, -3.760606e-01, 5.018574e-01, -1.011066e-02 
9.150000e+01, 1.587000e-09, -7.210000e-10, 7.981970e-19, 7.730190e-19, -8.089870e-21, -1.751735e+02, 1.743104e-09, 8.944173e-10, -4.264376e-01, 5.038135e-01, 5.296195e-03 
9.160000e+01, 1.587000e-09, -7.476000e-10, 7.008330e-19, 6.852740e-19, -3.604440e-21, -1.751181e+02, 1.754273e-09, 8.371299e-10, -4.402431e-01, 4.718996e-01, 5.343571e-03 
9.170000e+01, 1.428000e-09, -6.856000e-10, 7.134320e-19, 6.785100e-19, -1.120570e-20, -1.760046e+02, 1.584055e-09, 8.459518e-10, -4.476110e-01, 5.191606e-01, 9.513133e-03 
9.180000e+01, 1.679000e-09, -6.030000e-10, 7.382080e-19, 7.342770e-19, -3.329700e-20, -1.749721e+02, 1.783998e-09, 8.711735e-10, -3.447961e-01, 4.734949e-01, -3.320910e-02 
9.190000e+01, 1.565000e-09, -8.474000e-10, 6.942800e-19, 7.476700e-19, 3.417010e-21, -1.749931e+02, 1.779694e-09, 8.387628e-10, -4.962704e-01, 4.828457e-01, -2.842435e-02 
9.200000e+01, 1.496000e-09, -5.744000e-10, 6.869920e-19, 6.856250e-19, -7.886590e-21, -1.759041e+02, 1.602483e-09, 8.319222e-10, -3.666004e-01, 5.147873e-01, -7.872232e-03 
9.210000e+01, 1.575000e-09, -6.332000e-10, 7.544780e-19, 7.641600e-19, 1.536610e-20, -1.754037e+02, 1.697518e-09, 8.632433e-10, -3.822567e-01, 5.180855e-01, 1.019398e-02 
9.220000e+01, 1.629000e-09, -5.055000e-10, 7.528480e-19, 7.800380e-19, 1.591440e-21, -1.753623e+02, 1.705629e-09, 8.685248e-10, -3.008913e-01, 5.173194e-01, -8.330994e-03 
9.230000e+01, 1.659000e-09, -6.720000e-10, 7.022580e-19, 7.094000e-19, 9.101190e-21, -1.749433e+02, 1.789934e-09, 8.348238e-10, -3.848636e-01, 4.723164e-01, 5.738913e-03 
9.240000e+01, 1.418000e-09, -6.909000e-10, 8.009200e-19, 7.753660e-19, -7.025640e-20, -1.760414e+02, 1.577361e-09, 9.226838e-10, -4.533840e-01, 5.397842e-01, -4.230692e-02 
9.250000e+01, 1.485000e-09, -5.029000e-10, 8.237890e-19, 7.922250e-19, 1.724570e-20, -1.760939e+02, 1.567844e-09, 9.000348e-10, -3.265308e-01, 5.726005e-01, 2.881974e-02 
9.260000e+01, 1.388000e-09, -6.068000e-10, 7.132590e-19, 7.203380e-19, 4.365410e-21, -1.763926e+02, 1.514843e-09, 8.433211e-10, -4.121383e-01, 5.610779e-01, 5.110444e-04 
9.270000e+01, 1.343000e-09, -7.709000e-10, 7.336030e-19, 7.390200e-19, -1.157840e-20, -1.762016e+02, 1.548527e-09, 8.631011e-10, -5.210925e-01, 5.508727e-01, -1.110775e-02 
9.280000e+01, 1.325000e-09, -5.839000e-10, 8.889960e-19, 9.230680e-19, -2.271540e-21, -1.767849e+02, 1.447952e-09, 9.466854e-10, -4.150758e-01, 6.609343e-01, -1.556978e-02 
9.290000e+01, 1.373000e-09, -6.094000e-10, 7.765560e-19, 8.750020e-19, 8.757000e-21, -1.764657e+02, 1.502164e-09, 8.867152e-10, -4.177241e-01, 6.192478e-01, -3.713364e-02 
9.300000e+01, 1.342000e-09, -7.642000e-10, 7.335970e-19, 7.565700e-19, 8.096700e-21, -1.762252e+02, 1.544333e-09, 8.557214e-10, -5.176522e-01, 5.637248e-01, -7.714558e-03 
9.310000e+01, 1.200000e-09, -6.118000e-10, 7.261040e-19, 7.128450e-19, 1.866520e-20, -1.774129e+02, 1.346959e-09, 8.415835e-10, -4.714833e-01, 6.346160e-01, 2.269853e-02 
9.320000e+01, 1.313000e-09, -5.031000e-10, 7.980910e-19, 7.242280e-19, 2.486070e-21, -1.770398e+02, 1.406086e-09, 8.871154e-10, -3.659126e-01, 6.098650e-01, 3.487243e-02 
9.330000e+01, 1.309000e-09, -5.844000e-10, 8.124820e-19, 8.212660e-19, -3.245500e-21, -1.768719e+02, 1.433529e-09, 9.035254e-10, -4.198959e-01, 6.306788e-01, -6.655392e-03 
9.340000e+01, 1.368000e-09, -6.583000e-10, 6.679080e-19, 6.892080e-19, -8.167490e-21, -1.763737e+02, 1.518151e-09, 8.235870e-10, -4.485057e-01, 5.427033e-01, -1.977532e-02 
9.350000e+01, 1.197000e-09, -5.747000e-10, 7.791430e-19, 7.785850e-19, 4.000040e-21, -1.775373e+02, 1.327814e-09, 8.808615e-10, -4.476150e-01, 6.659073e-01, 3.491136e-03 
