Frequenzen /MHz, Realteil V/Pa,Imagteil / (V/Pa) , Var (k=1) real / (V/Pa)^2, var k=1 imag / (V/Pa)^2, korrelation / (V/Pa)^2, Amplitude |M| / dB re 1V/Pa, Amplitude M / (V/Pa) , uns (k=1) / V/Pa, phase arg(M) / rad, uns k=1 /rad, korrelation [-1...1] 
4.360000e+01, 5.621571e-09, -1.530303e-09, 1.937963e-19, 1.923594e-19, 6.031170e-21, -1.646924e+02, 5.826138e-09, 4.366235e-10, -2.657797e-01, 7.589443e-02, 2.881524e-02 
4.370000e+01, 5.999871e-09, -1.752823e-09, 2.050606e-19, 2.077435e-19, -1.022238e-20, -1.640815e+02, 6.250667e-09, 4.591021e-10, -2.842335e-01, 7.190861e-02, -4.524631e-02 
4.380000e+01, 5.952529e-09, -1.722445e-09, 2.150817e-19, 1.873768e-19, -5.500111e-21, -1.641568e+02, 6.196726e-09, 4.646271e-10, -2.816703e-01, 6.970605e-02, 1.368833e-02 
4.390000e+01, 5.937012e-09, -1.828197e-09, 2.153218e-19, 1.982022e-19, -4.353902e-21, -1.641352e+02, 6.212118e-09, 4.650680e-10, -2.987180e-01, 7.149128e-02, 5.884387e-03 
4.400000e+01, 5.909887e-09, -1.883126e-09, 2.067565e-19, 2.005539e-19, 5.818178e-21, -1.641484e+02, 6.202655e-09, 4.503540e-10, -3.084687e-01, 7.290548e-02, 3.211262e-02 
4.410000e+01, 5.920976e-09, -1.898719e-09, 1.873691e-19, 2.235823e-19, -1.541626e-20, -1.641270e+02, 6.217965e-09, 4.468905e-10, -3.103167e-01, 7.391628e-02, -1.123260e-01 
4.420000e+01, 5.619579e-09, -1.753923e-09, 1.979220e-19, 2.130677e-19, -1.935005e-20, -1.646022e+02, 5.886927e-09, 4.585552e-10, -3.025289e-01, 7.610324e-02, -9.843458e-02 
4.430000e+01, 5.791233e-09, -1.858346e-09, 1.853883e-19, 1.893183e-19, -9.041322e-22, -1.643189e+02, 6.082091e-09, 4.316031e-10, -3.105096e-01, 7.137017e-02, -1.002764e-02 
4.440000e+01, 5.780360e-09, -1.928529e-09, 2.067223e-19, 2.148078e-19, -1.006619e-20, -1.643025e+02, 6.093586e-09, 4.621431e-10, -3.220218e-01, 7.483600e-02, -4.971417e-02 
4.450000e+01, 5.652890e-09, -1.948844e-09, 2.006250e-19, 1.875789e-19, 2.505277e-21, -1.644669e+02, 5.979394e-09, 4.446293e-10, -3.319917e-01, 7.299618e-02, 3.088032e-02 
4.460000e+01, 5.827080e-09, -1.839901e-09, 1.812454e-19, 1.965357e-19, -9.865517e-21, -1.642782e+02, 6.110654e-09, 4.339319e-10, -3.058431e-01, 7.123588e-02, -6.600113e-02 
4.470000e+01, 5.720481e-09, -1.812919e-09, 1.944251e-19, 2.001390e-19, -8.002590e-21, -1.644357e+02, 6.000881e-09, 4.467169e-10, -3.069040e-01, 7.358873e-02, -4.150355e-02 
4.480000e+01, 5.650221e-09, -2.087263e-09, 1.925537e-19, 1.953312e-19, -1.919550e-20, -1.644031e+02, 6.023426e-09, 4.531737e-10, -3.538632e-01, 7.092672e-02, -7.999962e-02 
4.490000e+01, 5.491434e-09, -2.170321e-09, 1.995773e-19, 1.895596e-19, 5.368871e-21, -1.645760e+02, 5.904756e-09, 4.410822e-10, -3.763783e-01, 7.470522e-02, 3.773765e-02 
4.500000e+01, 5.549677e-09, -2.134793e-09, 1.887286e-19, 2.146614e-19, 2.438437e-21, -1.645153e+02, 5.946113e-09, 4.363910e-10, -3.672212e-01, 7.760838e-02, -3.416376e-02 
4.510000e+01, 5.585585e-09, -2.003624e-09, 1.836721e-19, 1.802974e-19, 6.328277e-21, -1.645329e+02, 5.934077e-09, 4.233968e-10, -3.444161e-01, 7.242453e-02, 3.274211e-02 
